2026-04-14 10:44:58 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 10:44:58 | INFO | Server configuration complete.
2026-04-14 10:44:58 | INFO | Starting Uvicorn server...
2026-04-14 10:44:58 | INFO | Initializing MLX handler with model path: mlx-community/Llama-3.2-11B-Vision-Instruct-4bit
2026-04-14 10:45:44 | ERROR | Failed to initialize MLX handler: Error loading model: Data processing error: File reconstruction error: IO Error: No space left on device (os error 28)
2026-04-14 10:45:56 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 10:45:56 | INFO | Server configuration complete.
2026-04-14 10:45:56 | INFO | Starting Uvicorn server...
2026-04-14 10:45:56 | INFO | Initializing MLX handler with model path: mlx-community/Llama-3.2-11B-Vision-Instruct-4bit
2026-04-14 10:46:40 | ERROR | Failed to initialize MLX handler: Error loading model: Data processing error: File reconstruction error: Internal Writer Error: Background writer channel closed
2026-04-14 10:46:55 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 10:46:55 | INFO | Server configuration complete.
2026-04-14 10:46:55 | INFO | Starting Uvicorn server...
2026-04-14 10:46:55 | INFO | Initializing MLX handler with model path: mlx-community/Llama-3.2-11B-Vision-Instruct-4bit
2026-04-14 10:47:34 | ERROR | Failed to initialize MLX handler: Error loading model: Data processing error: File reconstruction error: Internal Writer Error: Background writer channel closed
2026-04-14 10:47:55 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 10:47:55 | INFO | Server configuration complete.
2026-04-14 10:47:55 | INFO | Starting Uvicorn server...
2026-04-14 10:47:55 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 11:21:16 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 11:21:16 | INFO | Server configuration complete.
2026-04-14 11:21:16 | INFO | Starting Uvicorn server...
2026-04-14 11:21:16 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 11:21:23 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 11:21:23 | INFO | Inference worker thread started
